;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Wahlb. ohne Sperrv.;Wahlb. mit Sperrv.;Wahlb. insges.;Wähler;dav. mit Wahl-schein;Abge-gebene Erststimmen;Ungült. Erst-stimmen;Gültige Erst-stimmen;Dr. Braun,Helge Reinhold;CDU;Veit,Rüdiger;SPD;Dr. Solms,Hermann Otto;FDP;Koenigs,Thomas;GRÜNE;Al-Dailami, Ali Abass Yahya;DIE LINKE;Endlicher,Sascha;PIRATEN;Sachs,Volker;NPD;---;REP;---;BüSo;---;MLPD;---;AfD;---;pro Deutschland;---;FREIE WÄHLER;---;Die PARTEI;---;PSG;Klis,Peter Karol;---;
 Nr ;Bereich;A1;A2;A1+A2;B;B1;B;C;D;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;
101;JOHANNESSTIFT;852;280;1.132;604;2;604;17;587;221;185;184;138;15;31;82;91;54;75;30;31;1;0;0;0;0;0;0;1;0;27;0;0;0;4;0;7;0;0;0;0;
102;MAX-WEBER-SCHULE;899;248;1.147;575;0;575;13;562;158;137;224;175;6;12;82;98;55;66;24;26;10;8;0;0;0;0;0;0;0;29;0;0;0;5;0;6;0;0;3;0;
103;ALTES SCHLOSS;908;231;1.139;629;1;629;11;618;209;174;242;168;12;24;67;101;61;84;21;20;2;2;0;0;0;0;0;1;0;33;0;0;0;3;0;14;0;0;4;0;
104;THM (EHEM. LANDRATSAMT);907;246;1.153;542;1;542;6;536;157;136;195;155;10;17;70;74;65;91;28;20;6;3;0;1;0;0;0;0;0;23;0;0;0;6;0;9;0;1;5;0;
105;LIEBIGSCHULE I - HAUS B;548;172;720;376;0;376;12;364;110;101;137;90;7;15;53;68;31;54;23;14;0;1;0;0;0;0;0;1;0;14;0;0;0;3;0;5;0;0;3;0;
106;LIEBIGSCHULE II - HAUS A;640;206;846;484;0;484;2;482;147;125;186;123;8;18;68;108;47;51;23;28;2;2;0;0;0;0;0;1;0;18;0;0;0;0;0;7;0;0;1;0;
107;GEM.SAAL LUKASGEMEINDE;676;225;901;526;1;526;8;518;140;117;213;168;6;18;79;107;53;64;19;15;4;1;0;0;0;0;0;0;0;15;0;1;0;3;0;10;0;0;4;0;
108;EV. PETRUSGEMEINDE;692;254;946;505;0;505;10;495;163;132;183;136;10;18;87;109;36;43;9;17;4;5;0;0;0;0;0;1;0;26;0;1;0;3;0;3;0;0;3;0;
109;KITA ST. VINZENZ;809;320;1.129;561;0;561;7;554;168;132;204;140;13;28;97;119;47;75;22;29;1;5;0;1;0;0;0;0;0;15;0;2;0;2;0;7;0;0;2;0;
110;GOETHESCHULE;672;187;859;442;1;442;4;438;109;88;164;129;7;13;69;75;46;63;32;27;6;6;0;0;0;0;0;0;0;24;0;1;0;5;0;6;0;0;5;0;
111;RICARDA-HUCH-SCHULE I;901;181;1.082;514;4;514;18;496;140;129;182;140;12;14;63;81;57;70;35;28;6;2;0;0;0;2;0;0;0;17;0;0;0;5;0;10;0;1;1;0;
112;RICARDA-HUCH-SCHULE II;718;209;927;405;3;405;4;401;94;85;163;120;5;13;56;70;52;56;27;26;1;3;0;0;0;0;0;0;0;15;0;1;0;5;0;7;0;0;3;0;
113;GEORG-BÜCHNER-SCHULE I;766;79;845;350;1;350;18;332;109;100;128;105;4;6;21;27;43;45;15;16;12;8;0;2;0;0;0;0;0;18;0;0;0;3;0;3;0;1;0;0;
114;GEORG-BÜCHN.-SCHULE II;602;106;708;280;1;280;7;273;96;83;104;87;4;8;27;30;30;33;6;9;5;4;0;0;0;0;0;0;0;16;0;0;0;2;0;1;0;0;1;0;
115;LIEBIGSCHULE III;486;195;681;328;1;328;7;321;93;77;132;98;8;18;43;59;32;42;11;11;2;1;0;0;0;0;0;0;0;10;0;0;0;1;0;7;0;0;0;0;
201;SANDFELDSCHULE;771;178;949;590;0;590;14;576;262;233;190;153;14;24;61;72;33;42;11;11;5;5;0;0;0;0;0;0;0;29;0;2;0;2;0;7;0;1;0;0;
202;LANDGRAF-LUDWIGS-GYMNAS.;653;163;816;435;4;435;9;426;195;173;146;110;6;19;24;41;30;41;15;17;8;8;0;0;0;0;0;0;0;14;0;0;0;4;0;0;0;0;2;0;
203;NORDSTADTBÜRO;853;58;911;391;0;391;12;379;119;111;156;133;5;7;26;33;38;48;16;9;17;10;0;0;0;1;0;0;0;19;0;1;0;0;0;2;0;1;2;0;
204;THEODOR-LITT-SCHULE;696;121;817;328;1;328;13;315;112;89;108;89;8;13;21;35;41;45;17;12;5;3;0;2;0;0;0;0;0;25;0;0;0;5;0;4;0;0;3;0;
205;K.-KOLLWITZ-SCHULE;899;127;1.026;478;2;478;20;458;149;132;207;160;12;13;26;50;36;50;18;10;6;5;0;1;0;0;0;0;0;30;0;0;0;3;0;7;0;1;4;0;
206;KITA ST. ELISABETH;801;112;913;389;1;389;12;377;144;137;128;107;8;10;29;27;49;45;8;17;10;11;0;1;0;0;0;0;0;17;0;0;0;2;0;3;0;0;1;0;
207;EVANGELISCHE THOMASGEM.;728;108;836;432;0;432;11;421;171;142;138;123;10;21;31;36;47;61;15;10;8;5;0;0;0;0;0;0;0;21;0;0;0;2;0;3;0;0;1;0;
301;ALTENTAGESSTÄTTE;482;174;656;360;1;360;6;354;171;148;107;85;11;21;35;51;18;23;7;7;3;2;0;0;0;0;0;0;0;13;0;0;0;0;0;3;0;0;2;0;
302;PESTALOZZISCHULE;848;235;1.083;610;0;610;11;599;219;189;221;163;14;39;68;94;49;68;18;16;9;5;0;0;0;0;0;0;0;20;0;0;0;5;0;3;0;0;1;0;
303;KROATISCH KATH. GEM.;912;197;1.109;545;0;545;15;530;200;160;194;148;17;31;48;77;44;66;22;12;5;5;0;0;0;1;0;0;0;28;0;1;0;1;0;2;0;0;0;0;
304;JUGENDTREFF;789;114;903;470;0;470;5;465;195;163;153;111;3;16;40;47;47;63;18;14;7;6;0;0;0;0;0;0;0;29;0;0;0;4;0;7;0;0;2;0;
305;EH. SCHIEFER BALKEN;632;131;763;332;2;332;16;316;86;71;126;112;6;15;30;37;44;45;19;15;2;3;0;0;0;0;0;0;0;12;0;0;0;4;0;5;0;0;3;0;
306;GEMEINDEHAUS LUTHERGEM.;787;182;969;502;3;502;17;485;129;112;213;178;9;21;55;56;46;66;29;16;3;1;0;2;0;0;0;1;0;24;0;1;0;6;0;6;0;1;1;0;
307;VITOS KLINIK;780;159;939;439;3;439;14;425;178;158;135;107;6;19;43;50;38;42;18;12;5;6;0;2;0;0;0;0;0;23;0;0;0;3;0;5;0;0;2;0;
308;KIGA ANDREASGEMEINDE;685;127;812;451;1;451;17;434;195;158;162;133;4;23;26;39;30;37;7;7;9;8;0;0;0;0;0;0;0;20;0;1;0;6;0;1;0;0;1;0;
