;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Wahlb. ohne Sperrv.;Wahlb. mit Sperrv.;Wahlb. insges.;Wähler;dav. mit Wahl-schein;Abge-gebene Wahlkreisstimmen;Ungült. Wahlkreis-stimmen;Gültige Wahlkreis-stimmen;Möller,Klaus Peter;CDU;Merz,Gerhard;SPD;Greilich,Wolfgang;FDP;Hofmann,Hiltrud;GRÜNE;Richter,Alexander;DIE LINKE;- - -;REP;- - -;FREIE WÄHLER;- - -;NPD;- - -;PIRATEN;- - -;BüSo;Klis,Peter;---;
 Nr ;Bereich;A1;A2;A1+A2;B;B1;B;C;D;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;
101;Johannesstift;937;102;1.039;596;1;596;10;586;146;129;253;179;61;81;96;144;26;37;0;0;0;4;0;2;0;8;0;0;4;0;
102;Max-Weber-Schule;993;80;1.073;550;0;550;11;539;132;113;237;186;47;56;87;126;35;41;0;2;0;5;0;3;0;8;0;0;1;0;
103;Altes Schloß;953;109;1.062;605;0;605;15;590;170;147;249;191;56;73;85;125;30;46;0;1;0;7;0;2;0;3;0;3;0;0;
104;Ehemalige Landwirtschaftsschule - Foyer;999;93;1.092;591;0;591;14;577;132;120;243;172;41;53;106;155;52;62;0;1;0;8;0;2;0;8;0;0;3;0;
105;Liebigschule - Haus B;954;98;1.052;594;0;594;14;580;125;106;287;178;46;67;92;167;29;52;0;4;0;1;0;0;0;8;0;0;1;0;
106;Liebigschule - Haus A;990;90;1.080;620;3;620;14;606;124;106;285;191;52;63;113;186;30;51;0;2;0;6;0;1;0;3;0;0;2;0;
107;Gemeindesaal Lukasgemeinde;760;91;851;547;0;547;14;533;86;88;259;180;51;47;93;148;41;59;0;0;0;4;0;1;0;6;0;0;3;0;
108;Otto-Eger-Heim;817;85;902;535;0;535;8;527;101;79;253;172;58;78;90;157;20;26;0;1;0;3;0;3;0;6;0;2;5;0;
109;Kindertagesstätte St. Vinzenz;864;98;962;525;0;525;10;515;131;103;222;152;50;67;81;144;28;43;0;0;0;7;0;0;0;5;0;0;3;0;
110;Goetheschule;675;55;730;397;2;397;7;390;80;65;188;138;32;31;62;117;27;30;0;1;0;2;0;3;0;3;0;0;1;0;
111;Ricarda-Huch-Schule - Haus A;891;60;951;459;0;459;12;447;100;90;209;141;36;43;51;102;44;54;0;0;0;5;0;3;0;12;0;0;7;0;
112;Ricarda-Huch-Schule - Haus B;818;71;889;430;1;430;5;425;87;69;193;133;32;50;74;118;35;36;0;1;0;4;0;1;0;12;0;2;4;0;
113;Georg-Büchner-Schule - Haus C, Saal 61;734;30;764;222;0;222;15;207;54;52;100;90;13;13;17;19;22;27;0;2;0;2;0;2;0;0;0;1;1;0;
114;Georg-Büchner-Schule - Haus C, Saal 72;542;40;582;178;0;178;2;176;33;33;89;73;14;13;17;28;23;25;0;0;0;2;0;2;0;0;0;0;0;0;
201;Sandfeldschule;1.043;78;1.121;668;1;668;16;652;219;177;258;189;77;110;72;125;19;33;0;3;0;12;0;3;0;3;0;2;7;0;
202;Landgraf-Ludwigs-Gymnasium - Haus B;693;91;784;390;0;390;7;383;162;144;124;97;33;52;31;50;31;27;0;0;0;8;0;3;0;2;0;0;2;0;
203;Nordstadtbüro;895;33;928;289;0;289;9;280;81;77;119;104;29;24;14;20;36;41;0;1;0;4;0;13;0;1;0;0;1;0;
204;Theodor-Litt-Schule;706;34;740;280;0;280;8;272;75;65;109;89;37;40;31;46;16;19;0;3;0;4;0;1;0;6;0;0;4;0;
205;Käthe-Kollwitz-Schule, Haus 4;914;67;981;361;1;361;19;342;106;98;144;113;33;45;40;60;15;21;0;4;0;5;0;1;0;4;0;1;4;0;
206;Kindertagesstätte Ringallee;841;30;871;339;0;339;10;329;123;113;122;87;26;34;23;44;29;36;0;3;0;8;0;2;0;3;0;0;6;0;
207;Amritsar-Saal Thomasgemeinde;791;43;834;361;0;361;13;348;132;110;112;92;50;63;29;49;24;24;0;2;0;5;0;3;0;2;0;0;1;0;
301;Altentagesstätte Alfred-Bock-Strasse;567;80;647;409;0;409;13;396;173;149;138;88;45;72;30;66;9;16;0;1;0;3;0;3;0;4;0;0;1;0;
302;Pestalozzischule;959;120;1.079;635;0;635;14;621;197;167;240;166;68;87;79;140;36;51;0;5;0;3;0;1;0;1;0;2;1;0;
303;Kroatisch Katholische Gemeinde;904;124;1.028;484;0;484;10;474;153;136;190;130;50;65;53;99;24;31;0;1;0;5;0;2;0;1;0;0;4;0;
304;Städtischer Jugendraum;753;37;790;347;0;347;11;336;129;112;124;95;27;35;28;42;27;31;0;1;0;9;0;2;0;6;0;0;1;0;
305;Schiefer Balken";811;48;859;342;0;342;14;328;81;50;147;125;17;36;45;64;36;39;0;2;0;3;0;2;0;5;0;4;2;0;
306;Gemeindehaus Luthergemeinde;888;70;958;497;0;497;14;483;122;105;222;183;38;53;66;89;27;32;0;1;0;10;0;0;0;10;0;4;8;0;
307;zEntrum für Soziale Psychiatrie, Verwalt;844;90;934;453;1;453;17;436;150;150;163;112;46;53;48;88;27;35;0;1;0;3;0;2;0;1;0;0;2;0;
308;Kindergarten Andreasgemeinde;826;61;887;476;0;476;27;449;170;147;172;147;43;72;39;55;24;23;0;0;0;4;0;2;0;0;0;2;1;0;
309;Lesesaal Studentendorf;929;87;1.016;487;0;487;13;474;144;128;204;170;42;57;53;74;30;33;0;0;0;7;0;2;0;3;0;0;1;0;
401;Städtischer Kindergarten, Hoher Rain 16;802;85;887;474;0;474;14;460;160;142;170;132;40;54;58;84;24;38;0;2;0;7;0;0;0;5;0;0;8;0;
402;Ludwig-Uhland-Schule - Gebäude B;977;111;1.088;689;0;689;15;674;189;155;276;208;70;102;92;140;41;52;0;1;0;8;0;4;0;3;0;2;6;0;
403;St. Anna";1.055;77;1.132;549;0;549;19;530;172;142;182;137;66;88;68;101;40;44;0;4;0;14;0;0;0;5;0;0;2;0;
404;Veterinär-Physiologisches Institut;1.129;88;1.217;565;2;565;13;552;115;94;240;164;50;70;110;171;34;43;0;1;0;6;0;0;0;8;0;2;3;0;
405;Maria Frieden";906;64;970;487;1;487;14;473;114;93;211;155;49;64;64;102;31;43;0;2;0;9;0;4;0;4;0;1;4;0;
406;Technisches Rathaus - Eingang A;909;141;1.050;562;1;562;12;550;163;144;222;156;71;98;60;101;29;40;0;3;0;5;0;2;0;3;0;1;5;0;
501;Herderschule, Saal 5;1.005;59;1.064;497;0;497;19;478;124;114;213;174;43;53;64;85;30;34;0;2;0;9;0;4;0;3;0;0;4;0;
502;Herderschule, Saal 26;1.069;51;1.120;438;0;438;21;417;142;132;166;144;41;43;28;44;32;43;0;4;0;7;0;10;0;1;0;0;8;0;
503;Grundschule Gießen West;1.045;26;1.071;356;0;356;27;329;148;130;93;83;37;47;15;11;35;39;0;2;0;11;0;2;0;1;0;1;1;0;
504;Wilhelm-Liebknecht-Haus;939;20;959;277;0;277;17;260;69;71;115;88;21;19;18;37;32;33;0;1;0;7;0;3;0;2;0;0;5;0;
505;Herderschule, Saal 27;840;101;941;463;0;463;10;453;123;97;209;145;40;63;57;100;22;39;0;0;0;5;0;1;0;4;0;0;2;0;
601;Bürgerhaus Wieseck, Gruppenraum 2;899;97;996;547;1;547;11;536;218;200;162;133;72;84;57;75;22;29;0;2;0;7;0;4;0;3;0;1;5;0;
602;Grundschule Wieseck;897;92;989;542;0;542;21;521;174;158;203;158;70;79;45;68;25;38;0;2;0;6;0;6;0;6;0;1;4;0;
603;Friedrich-Ebert-Schule - Haus C;782;53;835;407;0;407;14;393;145;133;149;119;36;54;32;42;23;31;0;1;0;7;0;1;0;4;0;1;8;0;
604;Seniorenwohnanlage Wieseck;1.113;103;1.216;641;0;641;22;619;233;210;232;188;57;78;55;80;35;36;0;2;0;16;0;8;0;4;0;2;7;0;
605;Bürgerhaus Wieseck II;707;41;748;391;0;391;15;376;134;129;149;120;31;33;38;56;22;29;0;4;0;3;0;1;0;3;0;1;2;0;
606;Bürgerhaus Wieseck III;1.082;47;1.129;527;0;527;10;517;178;151;191;155;61;73;52;88;31;37;0;2;0;8;0;1;0;4;0;1;4;0;
608;Kindertagesstätte Giessen-Wieseck;725;39;764;373;0;373;9;364;160;129;119;100;34;61;29;45;19;16;0;3;0;3;0;2;0;5;0;2;3;0;
701;Bürgerhaus Rödgen I;641;60;701;442;0;442;14;428;169;130;170;106;37;59;37;79;13;17;0;2;0;37;0;1;0;3;0;0;2;0;
702;Bürgerhaus Rödgen II;743;63;806;472;0;472;25;447;119;94;231;168;41;54;36;64;17;24;0;1;0;44;0;2;0;1;0;2;3;0;
901;Bürgerhaus Kleinlinden;893;55;948;489;1;489;19;470;127;111;204;179;52;56;57;84;28;28;0;2;0;6;0;4;0;2;0;0;2;0;
902;Evangelisches Gemeindehaus;915;78;993;567;0;567;16;551;195;178;169;138;95;97;62;94;26;34;0;1;0;9;0;2;0;1;0;0;4;0;
903;Brüder-Grimm-Schule - Eingang A;721;81;802;539;1;539;22;517;157;149;202;137;83;89;55;108;17;24;0;0;0;12;0;1;0;5;0;1;3;0;
